State,Overall Average Tuition,High School Tuition,Elementary School Tuition
Connecticut,30840,42701.0,25642
Massachusetts,27616,40968.0,24891
District Of Columbia,27508,35094.0,28588
Vermont,25197,34749.0,19620
Maine,22648,29613.0,16725
New Hampshire,21935,31481.0,14906
New York,21903,27724.0,22090
Rhode Island,19770,36835.0,15833
California,17242,23128.0,16573
New Jersey,16313,21738.0,16103
Virginia,15311,18288.0,13793
Maryland,15110,19499.0,14499
Hawaii,14826,17495.0,14750
Washington,14087,16038.0,14212
Colorado,13805,16646.0,12615
Delaware,13298,14239.0,13186
Pennsylvania,12751,17237.0,11420
Georgia,12750,13212.0,12586
Tennessee,11886,12801.0,12011
Nevada,11602,12632.0,11821
Florida,11403,12709.0,11248
Texas,11348,12435.0,10898
Missouri,11202,13234.0,11104
North Carolina,11105,11845.0,10573
Arizona,10752,14230.0,10423
Oregon,10670,13536.0,10238
Utah,10617,12337.0,10426
Illinois,9756,14277.0,9130
Idaho,8970,9392.0,8983
Montana,8910,9185.0,8123
Wyoming,8824,,7015
New Mexico,8796,10326.0,8753
Minnesota,8502,14596.0,8276
South Carolina,8372,8587.0,8484
Alabama,8308,8898.0,7860
Michigan,8266,13200.0,7019
Ohio,8153,11233.0,7611
Oklahoma,8145,9403.0,8320
Kansas,8101,10972.0,7341
Louisiana,7666,8970.0,7697
Indiana,7641,10000.0,6687
Kentucky,7435,8078.0,7221
Alaska,7361,7144.0,7636
Iowa,7140,11227.0,7108
Mississippi,6759,7610.0,6685
Arkansas,6269,7025.0,6233
North Dakota,6143,,4175
West Virginia,5258,5070.0,5525
Wisconsin,5157,9931.0,4496
Nebraska,4980,8763.0,4622
South Dakota,4617,7051.0,4548
